saved checkpoints/L23\ppo_204800.pt
upd  101 | step   206848 |    84 sps | ret     6.00 | succ 0.30 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0197 | ent 0.878
upd  102 | step   208896 |    84 sps | ret     6.00 | succ 0.30 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0138 | ent 1.082
upd  103 | step   210944 |    84 sps | ret     5.60 | succ 0.28 | mean_lvl 22.5 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0148 | ent 0.962
upd  104 | step   212992 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0090 | ent 0.924
upd  105 | step   215040 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0247 | ent 0.957
upd  106 | step   217088 |    84 sps | ret     5.40 | succ 0.27 | mean_lvl 22.5 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0126 | ent 0.800
upd  107 | step   219136 |    84 sps | ret     6.40 | succ 0.32 | mean_lvl 22.6 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0130 | ent 0.809
upd  108 | step   221184 |    84 sps | ret     5.40 | succ 0.27 | mean_lvl 22.5 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0020 | ent 0.632
upd  109 | step   223232 |    84 sps | ret     5.80 | succ 0.29 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0227 | ent 0.566
upd  110 | step   225280 |    84 sps | ret     6.60 | succ 0.33 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0025 | ent 0.482
upd  111 | step   227328 |    84 sps | ret     7.00 | succ 0.35 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0053 | ent 0.556
upd  112 | step   229376 |    84 sps | ret     5.60 | succ 0.28 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0110 | ent 0.570
upd  113 | step   231424 |    84 sps | ret     5.40 | succ 0.27 | mean_lvl 22.5 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0028 | ent 0.584
upd  114 | step   233472 |    84 sps | ret     5.80 | succ 0.29 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0062 | ent 0.586
upd  115 | step   235520 |    84 sps | ret     4.80 | succ 0.24 | mean_lvl 22.5 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0017 | ent 0.483
upd  116 | step   237568 |    84 sps | ret     6.20 | succ 0.31 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0043 | ent 0.403
upd  117 | step   239616 |    84 sps | ret     5.80 | succ 0.29 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0021 | ent 0.354
upd  118 | step   241664 |    84 sps | ret     4.80 | succ 0.24 | mean_lvl 22.5 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0037 | ent 0.315
upd  119 | step   243712 |    83 sps | ret     4.00 | succ 0.20 | mean_lvl 22.4 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0008 | ent 0.411
upd  120 | step   245760 |    83 sps | ret     6.00 | succ 0.30 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0046 | ent 0.422
upd  121 | step   247808 |    83 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0107 | ent 0.405
